name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Hanoi,2015-01-01,24,11.4,17.7,24,11.4,17.7,9.4,63.8,0,0,0,,0,0,25.2,13,78.3,1023.4,0.4,7.2,197.4,17.1,7,,2015-01-01T06:33:34,2015-01-01T17:26:18,0.36,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB,remote"
Hanoi,2015-01-02,22,11,16.3,22,11,16.3,9.4,65.6,0,0,0,,0,0,23.4,13.9,99.8,1022.7,28.3,7.7,187.6,16.2,7,,2015-01-02T06:33:53,2015-01-02T17:26:56,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-03,21,13.1,17,21,13.1,17,12.4,75.6,0,0,0,,0,0,21.6,13,97,1020,42,6,115.5,9.9,4,,2015-01-03T06:34:11,2015-01-03T17:27:34,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-04,22.6,16.9,19.3,22.6,16.9,19.3,16.1,82,0.6,100,25,rain,0,0,25.2,17.2,98.7,1013.5,88,6.3,64.3,5.6,3,,2015-01-04T06:34:28,2015-01-04T17:28:12,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-05,23,18.5,20.4,23,18.5,20.4,18.4,88.4,0,0,0,,0,0,19.1,13,85.7,1011.2,90.6,4.2,93.7,7.9,4,,2015-01-05T06:34:44,2015-01-05T17:28:51,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-06,23.5,20,21.7,23.5,20,21.7,19.6,88.2,0.297,100,4.17,rain,0,0,31.7,10.3,85.5,1013.2,89.6,4.3,41.7,3.5,2,,2015-01-06T06:34:59,2015-01-06T17:29:30,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-07,21.5,17,18.9,21.5,17,18.9,14.7,77.1,0.688,100,8.33,rain,0,0,29.5,25,33.4,1018.7,91.7,9.2,25.5,2.1,1,,2015-01-07T06:35:12,2015-01-07T17:30:09,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-08,17.1,14.5,15.9,17.1,14.5,15.9,10.7,71.4,0.098,100,4.17,rain,0,0,22.3,15.7,358.2,1024.1,82.2,8.2,33.1,3,2,,2015-01-08T06:35:24,2015-01-08T17:30:49,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-09,16,12,14.3,16,12,14.3,10,76.2,0.098,100,4.17,rain,0,0,22.7,16.6,355.3,1024.6,82.2,7.8,30,2.7,1,,2015-01-09T06:35:35,2015-01-09T17:31:29,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-10,12.2,11.7,12,12.2,11.7,12,10.8,92.3,7.879,100,16.67,rain,0,0,19.1,14.8,351.7,1024.7,91.9,7.9,13.4,1.1,1,,2015-01-10T06:35:45,2015-01-10T17:32:09,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-11,15,11.7,13,15,11.7,13,11,87.7,15.07,100,16.67,rain,0,0,23,10.3,334.4,1023.5,91.1,9.5,19.6,1.7,1,,2015-01-11T06:35:53,2015-01-11T17:32:50,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-12,20,12,15.2,20,12,15.2,10.6,75.6,2,100,4.17,rain,0,0,30.2,14.8,3.2,1023.2,56.3,8.6,99.6,8.5,5,,2015-01-12T06:36:00,2015-01-12T17:33:30,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-13,20.1,9,14.6,20.1,8.5,14.6,9,72.1,0,0,0,,0,0,21.6,11.2,337.8,1023.1,9.8,8,209.6,18.1,8,,2015-01-13T06:36:06,2015-01-13T17:34:11,0.75,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-14,20.1,10,14.5,20.1,10,14.5,9.6,74.5,0,0,0,,0,0,18,15.7,31.8,1023.4,31.7,6.8,194.9,16.9,8,,2015-01-14T06:36:10,2015-01-14T17:34:52,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-15,21,10,15.1,21,10,15.1,10.1,74.4,0,0,0,,0,0,18.7,13.9,98.8,1021.9,7,5.4,173.9,15,7,,2015-01-15T06:36:14,2015-01-15T17:35:32,0.83,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-16,21.5,11,15.8,21.5,11,15.8,10.8,74.7,0,0,0,,0,0,17.6,13,335,1022.9,10.2,5.7,190.9,16.4,7,,2015-01-16T06:36:15,2015-01-16T17:36:13,0.86,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-17,22.5,11,16.6,22.5,11,16.6,10,69.1,0,0,0,,0,0,23,13.9,33.7,1023,7.2,6.6,198.5,17.1,7,,2015-01-17T06:36:16,2015-01-17T17:36:54,0.89,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-18,22.5,12.2,17.7,22.5,12.2,17.7,10.7,66.2,0,0,0,,0,0,21.2,13,40.9,1022.9,21.1,7,176.2,15.2,8,,2015-01-18T06:36:15,2015-01-18T17:37:35,0.92,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-19,22,15,17.9,22,15,17.9,11.1,66,0,0,0,,0,0,21.2,18.5,31.2,1022.1,23,6.1,156.3,13.4,7,,2015-01-19T06:36:13,2015-01-19T17:38:15,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-20,22,14,17.3,22,14,17.3,12.1,73.8,0,0,0,,0,0,19.8,10.3,109.7,1020.1,14.8,4.5,196.2,17,7,,2015-01-20T06:36:09,2015-01-20T17:38:56,0,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-21,22.9,14,18,22.9,14,18,13.7,77.8,0,0,0,,0,0,20.2,11.2,291.7,1022.1,15.2,4.2,135.2,11.6,6,,2015-01-21T06:36:05,2015-01-21T17:39:36,0.02,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-22,24.5,14,18.7,24.5,14,18.7,14,76.3,0,0,0,,0,0,26.3,18.4,115.9,1020,0.2,3.6,175.8,15.1,8,,2015-01-22T06:35:58,2015-01-22T17:40:16,0.06,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-23,24,16.5,19.6,24,16.5,19.6,15.6,78.8,0.2,100,8.33,rain,0,0,33.1,22.3,110.6,1015.7,15,4.8,104.3,9,5,,2015-01-23T06:35:51,2015-01-23T17:40:56,0.09,Rain,Clear conditions throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-24,26,17.5,21.1,26,17.5,21.1,17,78.7,0,0,0,,0,0,42.8,26.8,115.4,1014,20,5.8,164.8,14.3,6,,2015-01-24T06:35:42,2015-01-24T17:41:36,0.13,Clear,Clearing in the afternoon.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-25,26,19.7,21.7,26,19.7,21.7,18,80.3,0.098,100,4.17,rain,0,0,24.1,24.1,110.8,1015.6,79.8,8.4,97,8.4,4,,2015-01-25T06:35:32,2015-01-25T17:42:15,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-26,25.5,19,21.5,25.5,19,21.5,17.1,77.3,0.9,100,33.33,rain,0,0,27.7,19.4,112.3,1015.9,65.7,7.9,77.6,6.8,3,,2015-01-26T06:35:21,2015-01-26T17:42:54,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-27,25.1,19,21.4,25.1,19,21.4,17.8,80.4,1.8,100,45.83,rain,0,0,32,23.2,112,1014.4,79.9,7.6,75.4,6.5,4,,2015-01-27T06:35:08,2015-01-27T17:43:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-28,25.5,19.9,21.9,25.5,19.9,21.9,18.3,80.6,0.2,100,8.33,rain,0,0,39.2,25.9,119.1,1013.4,82.8,7.6,108.1,9.4,4,,2015-01-28T06:34:54,2015-01-28T17:44:12,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-29,25.5,20.7,22.2,25.5,20.7,22.2,18.6,80.3,0.3,100,12.5,rain,0,0,37.1,26.8,112.4,1015.4,89.6,8,93.9,8.1,4,,2015-01-29T06:34:38,2015-01-29T17:44:50,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-30,21,15,18.7,21,15,18.7,15.9,83.9,0.098,100,4.17,rain,0,0,26.6,26.8,76,1018.9,91.9,7.7,36.3,3.2,2,,2015-01-30T06:34:22,2015-01-30T17:45:28,0.34,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-01-31,15.5,12,13.6,15.5,12,13.6,11.5,87.7,0.589,100,8.33,rain,0,0,22,25,37.2,1023.2,91.9,7.1,36.3,3.3,2,,2015-01-31T06:34:04,2015-01-31T17:46:06,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-01,13.1,11.9,12.8,13.1,11.9,12.8,9.9,82.8,0.491,100,8.33,rain,0,0,19.4,16.6,14.2,1024.8,91.5,8.1,52.2,4.4,2,,2015-02-01T06:33:45,2015-02-01T17:46:43,0.4,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-02,16,13,14.3,16,13,14.3,11.5,83.7,0.1,100,4.17,rain,0,0,16.2,10.3,351.5,1024.3,91.4,7,55.5,4.9,2,,2015-02-02T06:33:24,2015-02-02T17:47:19,0.44,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-03,18.7,15,16.5,18.7,15,16.5,14.2,86.5,0.1,100,4.17,rain,0,0,12.6,9.6,17.7,1023.2,91.9,4.8,62.5,5.3,3,,2015-02-03T06:33:02,2015-02-03T17:47:56,0.47,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-04,17.3,13,14.9,17.3,13,14.9,13.5,91.6,4.537,100,16.67,rain,0,0,25.2,25,36.8,1022.8,92.3,5.6,23.6,2.2,1,,2015-02-04T06:32:40,2015-02-04T17:48:32,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-05,14.7,11,12.7,14.7,11,12.7,8.6,76.6,0.619,100,8.33,rain,0,0,26.3,22.3,0.7,1025.5,80.4,9.2,27.9,2.4,1,,2015-02-05T06:32:16,2015-02-05T17:49:07,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-06,16,12,13.7,16,12,13.7,5.8,59.6,0,0,0,,0,0,17.6,14.8,6.2,1024.1,29.1,7.2,96.9,8.3,4,,2015-02-06T06:31:50,2015-02-06T17:49:42,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-07,15,13,13.9,15,13,13.9,10.1,78.2,0.3,100,8.33,rain,0,0,16.2,11.2,0.4,1021.4,72.4,5.1,92.3,8,4,,2015-02-07T06:31:24,2015-02-07T17:50:16,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-08,19,13,15.6,19,13,15.6,8.7,66.7,0.984,100,4.17,rain,0,0,22.3,16.6,340.2,1023.7,28.5,6.2,87,7.6,4,,2015-02-08T06:30:56,2015-02-08T17:50:50,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-09,17.5,14,15.6,17.5,14,15.6,10.3,71.2,0,0,0,,0,0,18,8.5,5,1023,50.9,4.4,76.4,6.6,4,,2015-02-09T06:30:28,2015-02-09T17:51:24,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-10,18.3,15,16,18.3,15,16,12.9,81.8,0,0,0,,0,0,15.8,15.7,44.1,1019.2,49.1,4.1,81.9,7,4,,2015-02-10T06:29:58,2015-02-10T17:51:57,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-11,17,14,15.6,17,14,15.6,13.3,87,2.853,100,8.33,rain,0,0,24.1,17.6,9.4,1018.4,91.9,6,31.9,2.7,1,,2015-02-11T06:29:27,2015-02-11T17:52:30,0.74,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-12,22,15,18,22,15,18,11.9,69.4,0,0,0,,0,0,18.7,13,66.8,1017.9,42.9,7.7,144.5,12.3,5,,2015-02-12T06:28:55,2015-02-12T17:53:02,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-13,19.4,16.9,17.7,19.4,16.9,17.7,14.3,80.8,0.4,100,12.5,rain,0,0,19.4,13.9,66.1,1015.3,56.5,4.8,55,4.6,2,,2015-02-13T06:28:22,2015-02-13T17:53:33,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-14,18.1,16,17.1,18.1,16,17.1,16.4,96.2,8.664,100,12.5,rain,0,0,20.5,9.4,298.5,1013.1,92.9,2.4,27.6,2.3,1,,2015-02-14T06:27:48,2015-02-14T17:54:04,0.84,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-15,23,17.1,20,23,17.1,20,17.9,88.2,1.082,100,8.33,rain,0,0,23.4,13,136.4,1014.6,92.7,4,114.7,9.8,5,,2015-02-15T06:27:13,2015-02-15T17:54:35,0.87,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-16,25,19.5,21.5,25,19.5,21.5,18.4,82.6,0.1,100,4.17,rain,0,0,27.7,17.5,115.3,1015.8,66.4,5.8,114.5,9.8,5,,2015-02-16T06:26:37,2015-02-16T17:55:05,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-17,23,17.8,20.6,23,17.8,20.6,18,85.5,0.1,100,4.17,rain,0,0,24.1,15.7,98.6,1014.8,34.5,4.4,97.9,8.5,4,,2015-02-17T06:26:00,2015-02-17T17:55:35,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB,remote"
Hanoi,2015-02-18,23.5,19.9,21,23.5,19.9,21,18.4,85.5,0.2,100,8.33,rain,0,0,23,20.5,108,1015.4,66.5,6,71.9,6.2,3,,2015-02-18T06:25:22,2015-02-18T17:56:04,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-19,24.5,20,21.4,24.5,20,21.4,19.7,90.2,0.688,100,8.33,rain,0,0,40.7,25,114.9,1015.5,85.6,5,139.9,12.2,7,,2015-02-19T06:24:43,2015-02-19T17:56:32,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-20,26,20.9,22.6,26,20.9,22.6,19.9,85.4,0.01,100,4.17,rain,0,0,40,27.7,111,1013.7,87.8,6.9,122.2,10.5,5,,2015-02-20T06:24:03,2015-02-20T17:57:00,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-21,27,21,23.6,28.5,21,23.7,20.3,82.7,0.2,100,8.33,rain,0,0,27.7,21.4,112.6,1011.8,88.6,8.5,147.5,12.7,6,,2015-02-21T06:23:23,2015-02-21T17:57:28,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-22,26.5,22,23.3,26.5,22,23.3,21.3,89.1,0.102,100,4.17,rain,0,0,22.7,18.4,110.6,1012.5,80.3,7.2,126.9,10.9,5,,2015-02-22T06:22:41,2015-02-22T17:57:55,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-23,27,21.6,23.7,28.7,21.6,23.8,20.8,84.2,0.005,100,4.17,rain,0,0,25.2,22.3,108.9,1011.2,82.1,8,138.8,12,6,,2015-02-23T06:21:59,2015-02-23T17:58:22,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-24,29,21.5,24.3,30.3,21.5,24.7,20.1,78.1,0.002,100,4.17,rain,0,0,26.3,25,118.4,1009.7,79.9,10.5,201.4,17.3,9,,2015-02-24T06:21:16,2015-02-24T17:58:48,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-25,29,22,24.7,30.3,22,25,20,76,0.2,100,8.33,rain,0,0,28.4,25.9,117.4,1008.4,69,9.6,217.7,18.6,9,,2015-02-25T06:20:32,2015-02-25T17:59:14,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-26,28,23,24.8,30.1,23,25.2,21,79.9,0.003,100,4.17,rain,0,0,34.2,25.9,116.3,1009.1,84,9.6,199.1,17.2,8,,2015-02-26T06:19:48,2015-02-26T17:59:40,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-27,27,23,24.5,28.8,23,24.8,21.6,84.2,0.005,100,4.17,rain,0,0,40.7,28.6,112.6,1009.7,90,8.4,217.8,18.7,9,,2015-02-27T06:19:02,2015-02-27T18:00:05,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-02-28,28.5,23,25.1,30.7,23,25.7,21.6,81.8,0.098,100,4.17,rain,0,0,34.2,22.3,119.6,1012.3,90.1,9.1,175.3,15.1,7,,2015-02-28T06:18:16,2015-02-28T18:00:29,0.31,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-01,23.5,18.5,21.1,23.5,18.5,21.1,17.4,80.1,3.737,100,12.5,rain,0,0,50,29.7,66.2,1017.3,91.8,8.7,51.1,4.4,2,,2015-03-01T06:17:30,2015-03-01T18:00:53,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-02,20,17.3,18.6,20,17.3,18.6,17.3,92,0.303,100,8.33,rain,0,0,33.5,22.3,120,1012.9,91.8,4.9,78.3,6.7,3,,2015-03-02T06:16:43,2015-03-02T18:01:17,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-03,25.1,20,21.9,25.1,20,21.9,17.3,77.2,1.7,100,33.33,rain,0,0,37.8,25.9,40.5,1009.3,88.4,7,79.4,6.9,3,,2015-03-03T06:15:55,2015-03-03T18:01:40,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-04,20.7,18,19.4,20.7,18,19.4,15.4,78.4,0.196,100,8.33,rain,0,0,20.5,14.9,69.7,1011.8,91.9,7,68.9,6,3,,2015-03-04T06:15:06,2015-03-04T18:02:03,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-05,21,18,19.5,21,18,19.5,18.6,94.8,0.402,100,8.33,rain,0,0,17.3,11.2,51.2,1012,91.9,3.2,65,5.6,3,,2015-03-05T06:14:17,2015-03-05T18:02:26,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-06,20.4,16,18.3,20.4,16,18.3,17.5,94.9,1.185,100,8.33,rain,0,0,28.1,22.3,33.6,1013.4,92.6,5.5,41.6,3.6,2,,2015-03-06T06:13:28,2015-03-06T18:02:48,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-07,16.7,15.9,16.2,16.7,15.9,16.2,15.1,93.7,1.024,100,8.33,rain,0,0,16.2,15.7,42.4,1015,91.9,5.4,45.6,3.9,2,,2015-03-07T06:12:38,2015-03-07T18:03:10,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-08,20,16.5,18.4,20,16.5,18.4,17.6,95.2,0.703,100,8.33,rain,0,0,15.5,9.4,13,1014.4,91.9,3.1,64.6,5.6,3,,2015-03-08T06:11:48,2015-03-08T18:03:32,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-09,21.5,19.7,20.3,21.5,19.7,20.3,19.7,96.5,2.329,100,12.5,rain,0,0,24.8,11.2,37.2,1016.1,91.9,3.3,42.9,3.7,1,,2015-03-09T06:10:57,2015-03-09T18:03:53,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-10,20.8,18,19.6,20.8,18,19.6,18.6,94.3,4.982,100,12.5,rain,0,0,22.7,16.6,42.1,1017.1,91.9,4.2,43,3.7,2,,2015-03-10T06:10:05,2015-03-10T18:04:14,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-11,20.1,16,17.9,20.1,16,17.9,16.8,93.5,5.891,100,12.5,rain,0,0,29.2,23.2,39.7,1018.6,90.2,7.1,43.1,3.6,2,,2015-03-11T06:09:14,2015-03-11T18:04:34,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-12,17.1,15,16,17.1,15,16,13.9,87.6,2.105,100,8.33,rain,0,0,18.4,17.5,32.3,1019.2,91.9,7.9,40.1,3.5,2,,2015-03-12T06:08:22,2015-03-12T18:04:55,0.72,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-13,18.7,15,17.2,18.7,15,17.2,16.2,93.7,0.494,100,8.33,rain,0,0,24.1,10.3,33,1015,91.9,3.9,90.6,7.7,4,,2015-03-13T06:07:29,2015-03-13T18:05:15,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-14,22,17.8,19.7,22,17.8,19.7,18.4,92.9,2.074,100,12.5,rain,0,0,20.2,13,297,1013.8,91.8,4.2,82.3,7.2,3,,2015-03-14T06:06:37,2015-03-14T18:05:35,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-15,25,20,22.6,25,20,22.6,21,90.9,0.405,100,8.33,rain,0,0,23.8,14.8,107.5,1011.8,91.9,4.2,173.4,15.1,7,,2015-03-15T06:05:44,2015-03-15T18:05:55,0.82,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-16,27,23,24.4,29.6,23,24.6,22.4,89,0.011,100,8.33,rain,0,0,24.8,22.3,104.1,1010.5,91.2,6.1,188.4,16.5,7,,2015-03-16T06:04:50,2015-03-16T18:06:14,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-17,28.5,23,25.3,31.7,23,26.1,22.6,85.5,0.1,100,4.17,rain,0,0,28.1,21.4,99.9,1006.4,86.4,5.8,239.8,20.7,9,,2015-03-17T06:03:57,2015-03-17T18:06:33,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-03-18,30,23.9,26.2,34.1,23.9,27.4,22.8,82.3,0,0,0,,0,0,23.8,22.3,99.4,1006.1,72.6,6.3,244.5,21.2,9,,2015-03-18T06:03:03,2015-03-18T18:06:53,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
